"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"St. Kitts and Nevis","361","Financial Institutions Access Index","FD_FIA_IX","Value","0.751574516296387","0.777367770671844","0.848962485790253","0.777798712253571","0.779870271682739","0.742139935493469","0.691075444221497","0.694148659706116","0.7138711810112","0.725571572780609","0.649595439434052",
"St. Kitts and Nevis","361","Financial Markets Access Index","FD_FMA_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"St. Lucia","362","Financial Development Index","FD_FD_IX","Value","0.341416120529175","0.337214380502701","0.33178585767746","0.327363908290863","0.310559839010239","0.286704391241074","0.307117223739624","0.310048431158066","0.34239861369133","0.33871528506279","0.335272580385208",
"St. Vincent and the Grenadines","364","Financial Development Index","FD_FD_IX","Value","0.200422868132591","0.194908618927002","0.20636248588562","0.202803418040276","0.198352813720703","0.192659765481949","0.197358012199402","0.197294592857361","0.201976954936981","0.202888950705528","0.202525392174721",
"St. Vincent and the Grenadines","364","Financial Markets Depth Index","FD_FMD_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"St. Vincent and the Grenadines","364","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Cambodia","522","Financial Markets Depth Index","FD_FMD_IX","Value","0.0364012755453587","0.0324410498142242","0.0256130117923021","0.0233519170433283","0.0184615962207317","0.0190011635422707","0.0171498507261276","0.00848573073744774","0.00421114778146148","0.00421114778146148","0.00421114778146148",
"France","132","Financial Institutions Depth Index","FD_FID_IX","Value","0.753050029277802","0.754084944725037","0.755274176597595","0.748740673065186","0.751547813415527","0.760974228382111","0.768115937709808","0.772969722747803","0.778236508369446","0.818294763565063","0.803938388824463",
"France","132","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.573091924190521","0.553598761558533","0.573404610157013","0.542863786220551","0.575542569160461","0.585640847682953","0.539545774459839","0.556870520114899","0.568428337574005","0.532553732395172","0.5627161860466",
"India","534","Financial Markets Efficiency Index","FD_FME_IX","Value","0.734573066234589","0.565898954868317","0.557139277458191","0.557233870029449","0.567393124103546","0.571377813816071","0.58184027671814","0.700774490833282","0.693900108337402","0.925166547298431","0.925166547298431",
