"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","12_1","Natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",86.7837219238281,,
"AUS","Australia","AVERAGE","Average","12_1","Natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",87.1266479492188,,
"AUS","Australia","AVERAGE","Average","12_1","Natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",87.1742553710938,,
"AUS","Australia","AVERAGE","Average","12_1","Natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",87.2019882202148,,
"AUS","Australia","AVERAGE","Average","12_2","Loss of natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",0.8306783394,,
"AUS","Australia","AVERAGE","Average","12_2","Loss of natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",0.267547321,,
"AUS","Australia","AVERAGE","Average","12_3","Gain of natural and semi-natural land cover","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",0.7495120393,,
"AUS","Australia","AVERAGE","Average","12_4","Intact forest landscapes","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",55616.43933,,
"AUS","Australia","AVERAGE","Average","12_4","Intact forest landscapes","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",54150.83646,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",8.9893521092,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",9.176163449,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",9.3967054074,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",10.274053582,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",10.4548467601,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",11.1451259402,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",11.4611272283,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",12.2740663831,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",13.9568071104,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",15.5518496281,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",16.8906842436,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",18.2771651651,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",19.022475199,,
